Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Hematoxylin OD mean	Nucleus: Hematoxylin OD sum	Nucleus: Hematoxylin OD std dev	Nucleus: Hematoxylin OD max	Nucleus: Hematoxylin OD min	Nucleus: Hematoxylin OD range	Nucleus: Eosin OD mean	Nucleus: Eosin OD sum	Nucleus: Eosin OD std dev	Nucleus: Eosin OD max	Nucleus: Eosin OD min	Nucleus: Eosin OD range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Hematoxylin OD mean	Cell: Hematoxylin OD std dev	Cell: Hematoxylin OD max	Cell: Hematoxylin OD min	Cell: Eosin OD mean	Cell: Eosin OD std dev	Cell: Eosin OD max	Cell: Eosin OD min	Cytoplasm: Hematoxylin OD mean	Cytoplasm: Hematoxylin OD std dev	Cytoplasm: Hematoxylin OD max	Cytoplasm: Hematoxylin OD min	Cytoplasm: Eosin OD mean	Cytoplasm: Eosin OD std dev	Cytoplasm: Eosin OD max	Cytoplasm: Eosin OD min	Nucleus/Cell area ratio
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1564.9	1180.8	18.9	16.5904	0.8629	5.8148	4.4705	0.6297	0.5543	119.177	0.2826	1.1915	0.1465	1.045	0.0833	17.9147	0.0786	0.236	-0.136	0.372	84.96	33.7994	0.9346	11.6751	9.5954	0.5332	0.1446	0.2658	1.1915	-0.0985	0.1358	0.1001	0.3297	-0.136	0.0251	0.069	0.2687	-0.0985	0.1512	0.1006	0.3297	-0.0546	0.2251
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1647.2	1182.2	21.87	18.097	0.8392	6.6345	4.7205	0.7251	0.5414	136.4318	0.2099	0.9806	0.1707	0.8099	0.0034	0.8685	0.0681	0.2309	-0.199	0.43	87.03	34.269	0.9313	11.4845	10.1841	0.3281	0.165	0.2544	0.9806	-0.107	0.0338	0.0776	0.3801	-0.199	0.0333	0.0708	0.3379	-0.107	0.0445	0.078	0.3801	-0.086	0.2545
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1532.3	1182.5	21.06	18.8914	0.7415	7.3767	3.6307	0.8802	0.4239	100.4643	0.1426	0.8589	0.0847	0.7742	0.1063	25.1995	0.0581	0.2581	-0.0515	0.3096	81	34.5055	0.8549	12.7436	8.2533	0.7774	0.1452	0.2015	0.8589	-0.0999	0.1803	0.0752	0.3218	-0.0515	0.0463	0.1022	0.4079	-0.0999	0.2065	0.062	0.3218	-0.028	0.2553
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1669.5	1182.6	26.1	21.7907	0.6907	8.0288	4.4884	0.8567	0.792	232.0569	0.2536	1.6421	0.2345	1.4076	0.0193	5.661	0.1116	0.2543	-0.4567	0.711	76.41	34.0039	0.8304	13.0236	8.2559	0.7898	0.4309	0.3565	1.6421	-0.1136	0.1101	0.1214	0.3703	-0.4567	0.2409	0.2354	1.1392	-0.1136	0.1578	0.0966	0.3703	-0.1951	0.3404
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1496.9	1182	12.24	12.8065	0.9378	4.6884	3.4564	0.6371	0.6612	91.9109	0.1086	0.8787	0.4341	0.4446	0.061	8.4823	0.0639	0.171	-0.245	0.4161	27.9	20.589	0.8271	7.4504	4.7014	0.7712	0.4823	0.2059	0.8787	0.0559	0.1045	0.0918	0.2729	-0.245	0.3402	0.1451	0.7543	0.0559	0.139	0.096	0.2729	-0.2164	0.4212
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1508.9	1183.4	18.72	16.6706	0.8465	6.5423	3.8648	0.7963	0.4948	104.4035	0.0962	0.7379	0.316	0.4218	0.1327	28.0051	0.0422	0.2196	-0.0256	0.2453	61.2	29.47	0.8855	11.0924	7.0711	0.7314	0.3055	0.1571	0.7379	0.0523	0.1681	0.0504	0.2659	-0.0256	0.221	0.0919	0.5167	0.0523	0.1839	0.0456	0.2659	0.0093	0.2994
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1523.2	1182.3	12.51	13.3361	0.8839	4.4967	3.928	0.5051	0.5472	76.058	0.0918	0.7331	0.3364	0.3967	0.1184	16.4622	0.0747	0.2327	-0.0337	0.2665	30.69	22.0105	0.7961	8.2944	5.7664	0.7151	0.3545	0.1853	0.7331	0.0043	0.1707	0.0744	0.2903	-0.0337	0.2251	0.0999	0.5062	0.0043	0.2058	0.0494	0.2903	0.0508	0.3918
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1500.6	1184	11.25	13.3352	0.795	5.0674	3.0205	0.804	0.7304	94.9543	0.0979	0.8974	0.4612	0.4362	0.0611	7.9488	0.0472	0.2	-0.1251	0.3251	22.23	19.6669	0.7222	7.0016	5.0982	0.7233	0.58	0.198	0.8974	0.136	0.0907	0.0679	0.2474	-0.1431	0.4196	0.1445	0.7259	0.136	0.1223	0.0725	0.2474	-0.1431	0.5043
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1487.4	1184.7	24.75	20.9803	0.7066	7.3086	4.8113	0.7699	0.6206	173.7616	0.0916	0.8917	0.4221	0.4696	0.0826	23.1415	0.0472	0.197	-0.0895	0.2865	65.52	31.2791	0.8415	10.7958	8.9407	0.3303	0.4593	0.1673	0.8917	0.0583	0.1252	0.0583	0.2683	-0.0895	0.3589	0.1179	0.7379	0.0583	0.1517	0.0479	0.2683	-0.011	0.3789
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1581.5	1187.5	42.48	29.3937	0.6179	10.4258	5.9817	0.8515	0.4958	236.9808	0.1575	0.8846	0.1798	0.7048	0.0804	38.4133	0.0635	0.235	-0.1356	0.3706	127.44	43.3451	0.8524	15.6458	11.2171	0.7233	0.2109	0.2397	0.8846	-0.1008	0.1352	0.0768	0.3059	-0.1356	0.0658	0.1078	0.3979	-0.1008	0.1632	0.0674	0.3059	-0.0551	0.335
